id,text
114,necklace,pot,lock,deck,gum,pencil,light,station,cheque,tree
115,cat,table,sofa,girl,bottle,building,school,blanket,basketball,nail
116,bicycle,music,colour,bag,crow,baby wipe,lamp,wiring,magnet,vents
117,cat,dog,education,race,invitation,comparison,ceiling,table,glass,grass
118,arrow,stand,plane,soup,mast,gold,book,football,grass,shadow
119,milk ,ocean ,salt ,speaker,box ,window ,sky ,wallet ,bag ,heater 
120,clothes,food,phone,rose,sun,wall,printer,paper,shoe,hand
121,magic,chopsticks,pot,computer,air,dumbbells,hair,bully,flood,keys
122,cat ,city ,iceberg ,robot ,video ,bottle ,glasses ,passport ,money ,sun 
123,thief,movie,milk,Italy,river,tram,home,artwork,underwear,bee
124,apple,guitar,ant,multiply,baptism,waste,paradigm,cleaver,enzyme,elevator
125,hammer ,snow ,window ,phone ,light ,speaker ,mirror ,cloth,clouds ,coffee 
126,Cake,Holocaust,Aliens,Syphillis,Frying pan,Transplant,Addict,Diarrhea,Toenail,Lats
127,bottle,finger,cloth,eye,beautiful,happy,house,book,mother,love
128,car,car,oars,bread,mountain,pencil,teddy bear,cash,guitar,lolly
129,cup,plant,animal,person ,plane,computer,park,vegetable ,vehicle ,window
130,School,grass,dungeon,drink,movie,street,bird,phone,window,Dinner
131,caterpillar ,fame,castle ,gum,crop top ,fog ,smile ,gold,vampire ,truth 
132,Technology,Country,Happiness,Time,Voltage,Iron,Captivate,Hair,Special,Rain
133,tile,phone,banana,highlighter,cloud,jewellery,lecture,dog,banquet,BBQ
134,lamp,dylan,book,giraffe,spider,pen,cloth,painting,toe,sticker
135,Table,Ocean,Star,Whistle ,Phone,Antenna ,Grass,Bus,Chalk,Curtain 
136,cup ,knife ,tree ,friend ,cigarette ,meat ,ship,star ,tiger,snow 
137,tree,building,sky,game,door,factory,chocolate,media,tram,coffee
138,table,family,girl,cat,wallet,fork,grace,tablet,charger,book
139,hat,tree,fig,paper,radio,stairs,door,number,thumb,road
140,justice,beauty,envy,appetite,idea,sorrow,luxury,right,generosity,nap
141,book,bag,plane,water,skin,dog,cloud,curtain,gun,mountain
142,cat,car,bed,shirt,bear,radio,board,cupboard,wardrobe,chair
143,stick,hand,essay,time,water,ice,house,road,onion,dog
144,phone ,fox ,car,home ,flight ,slave ,movie ,wallet ,box ,doctor 
145,boyfriend,animal,FRUIT,table,elevator,shopping,road,fly,pipe,PLUMBER
146,Phone,Blanket,Sheep,Beef,Cars,Clouds,Pillow,Eggs,Chicken,Trees
147,change,kill,grill,arrange,stab,bury,sing,cry,stop,fix
148,clothes,ocean,bottle,sun,computer,medal,glass,clouds,music,nail
149,banshee,telescope,paint,locomotive,icypole,crate,swashbuckler,atlas,birthday,hummingbird
150,Kettle,Scissors,Laptop,Dress,Foot,Tree,Church,Chicken,Water,Violin
151,Hot,Unicorn,Preschool,Foot,Ham,Platypus,Tent,Computer,Forest,Friend
152,Fence,Pen,Pot,Light,Frame,Phone,Star,Alcohol,Tissue,Perfume
153,CHAIR ,HEART ,SHOE ,PLANT ,COKE ,BREAD ,BACKPACK,MIRROR ,CHARGER,TAMPON 
154,dog ,car,coffee,tissue,wire,ink,stone,frame,fork,app
155,handicapped,moon,bracelet,Plant,dynamic,intricate,hippo,Sakya,incantation,sorcery
156,cat,desk,bed,phone,peanut,email,tank,lipstick,plastic ,pole
157,cat,tennis,girl,feet,blanket,fruit,rain,pole,glue,tank
158,chair,factory,planet,toothbrush,perfume,kettle,leaf,brick,handbag,violin
159,word,bread ,table ,wax,oxygen,water,electricity,engineering,books,displayer
160,table,jumper,scissors,red,hospital,tree,shout,job,painting ,winter
161,book,honey,cup,straw,chair,sea,gold,glasses,broom,floor
162,orange,universe,homework,circuits,key,shirt,marker,anime,style,aesthetic
163,chair,fan,street,candle,order,music,notebook,survey,hair,pizza
164,school,boy,sally ,cat ,book ,painting ,window ,sock,motorbike ,bedsheet 
165,Tiger,Bench,Plane,Clown,House,Tree,Bag,Suit,Crate,Flor
166,Cat,Phone,Glasses,Bottle,Airpods,Keys,Cheetos,Wall,Girl,wallet
167,ocean ,peanut ,earring ,road,gold ,pangolin ,jumper,brussel sprout ,license ,arm
168,Pillow,Spain,Dessert,Earring,Lentil,Goddess,Party,Machine,Mat,Chip
169,space,time,place,coke,tea,package,garden,avatar,race,show
170,apple,laptop,chair,tape,ladder,ball,blanket,pool,case,digestion
171,map,picnic,champagne,socks,mouse,numbers,photographs,brackets,net,love
172,cat,mug,earth,bottle,hand,brain,university,book,song,power cord
173,TV,cup,water,dog,love,pain,ring,pen,car,OCD
174,towel,building,planet,cloud,horse,paint,hat,figurine,knob,wheat
175,boat,apple,bookcase,cave,ankle, cane,candy,church,fish,wealth
176,dog,time,abestos,car,pink,facebook,leaf,atom,Maria,grade
177,table,building,apple,photo,music,anxiety,watch,bandage,nail,crocodile
178,Food,Planet,Technology,Wood,Athlete ,Home,Fire,Weapon,Cinema,Colour
179,food,book,phone,bottle,screen,ball,university,pen,nose,friend
180,Chair,Tree,Boat,Clothes,Television,Bike,Register,Floor,Cape,Eyes
181,cat,toilet,rug,cement,speaker,flower,bottle,finger,stairs,glass
182,DOG,GLASS,FLOWER,UNIVERSITY,WATER,LAPTOP,SONG,STAIRS,LIGHT,POLE
183,Dark,Hot,Slow,Tall ,Stupid,Air,Brick,Power,Help,Chase
184,bottle,lip,frisbee,tram,sugarcane,ice,rice,scar,zipper,sunflower
185,food,love,baby,tree,sea,university,animal,chair,sun,China
186,cold ,hot ,exciting ,boring ,alive ,dead ,fantasy ,real life ,hard ,soft 
187,azure,banana,chair,candle,footpath,socket,galaxy,scarf,llama,pencilcase
188,heart,useless,annoying,tired,happy,sleepy,boring,itchy,yawing ,pretty
189,sky,brush,door,can,vein,castle,deer,public,cucumber,laser
190,sun,table,hammer,scarf,flower,glasses,scrunchie,path,canyon,lion
191,house,ship,island,cartier,Fiji,harry,couch,noodle,pool,ball
192,Snow,Chair,Asteroid,Bacteria,Necklace,Credit Card,Exam,Guitar,Window,Salmon
193,Glass,Sky,Peace,Bottle,Pants,Key,Leave,Light,Black,Bee
194,Giraffe,Boat,Cabinet,Tooth,Lychee,Phone,Boulder,Plasma,Watercolour,Collision
195,lamp,banana,trampoline,pool,umbrella,ball,tree,bread,eye,bird
196,bed,rainbow,page,significant,psychology,butterfly,shower,hotel,jacket,instagram
197,butterfly,gun,shoe,volcano,penguin,receptionist,watch,trashcan,book,headphones
198,car,book,leaf,electricity,house,moon,water,light,worm,metal
199,water,mirror,fish,flower,sky,ocean,milk,pizza,hotpot,lipstick
200,car,Africa,cat,phone,Alex,doll,photo,giraffe,laptop,ball
201,tree,pants,nail,computer,de ja vu,mood,stars,gold,glue,talking
202,planet ,broccoli ,fridge ,scaffold,salt ,money ,rose ,light ,roof,diamond
203,car,squid,movie,polish,coriander,supermarket,soccer,wine,queen,bush
204,hands,earphones,bags,mother,bedroom,pilot,battery,landscape,travelling,building
205,bat,cloud,hair,desert,whale,metal,alphabet,library,cheese,coup
206,Phone ,Book ,Run ,Makeup ,Sleep ,Car,Racism ,Construction ,Cat,Idea
207,Base,Cloud,Chair,Foot,People,Country,Chemist,Syringe ,Beach,Flavour
208,apple,candle,house,microphone,aeroplane ,pillow,gas,maths,juice,bark
209,house ,calculator ,shoes ,technology ,water ,nails ,Australia ,dog,tennis ball ,tissues 
210,coat ,bus,apple,pear,table,tree,river,school,country,city
211,dogs,food,drink,furniture,people,plants,clothes,technology,sky,vehicles
212,Apple,Chair,Eraser,Macbook,Cup,Tissue,Phone,University,Psychology,Book
213,cat,kiwi,ball,boat,throat,metal,flower,keyboard,hair,shoe
214,egg,Egypt,Computer,Tissue,Mammal,China,Air,Lava,Cello,Card
215,sock,sun,charger,nail,suitcase,singing,fat,pillow,lion,rice
216,dog,janitor,mermaid,pants,acne,football,anthers,crayons,train,clown
217,water,suitcase,brain,grape,wifi,hair straightener,Italy,lion,paint,sock
218,food,knife,chef,plate,dinner ,meat,fruit ,cream,lemon,lime
219,table,punnet,crab,fist,sandwich,mirror,headphones,sprinkler,harvest,label
220,flower,couch,application,coaster,battery,country,wax,wine,nail,finger
221,car,death,banana,balloon,politics,axe,water,mars,elite,mitosis
222,pig,box,chilli,night,fingernail,rose,bike,dollhouse,laptop,umpire
223,bucket,shelf,pedal,wheel,needle,brush,fence,parakeet,headache,fountain
224,ball,house,pasta,reading,driving,code,hate,work,sprint,circus
225,chair,book,butterfly ,coffee,computer ,tennis ,chocolate ,husky ,fire extinguisher ,clock
226,Grace,Toilet ,Puppy,Education ,Hatred,Bicycle,Sandals,Rockstar,Junkyard ,Pink
227,food,ball,fence,chair,roads,pencil,mat,grass,chimney,pool
228,light,country,bottle,agent,paprika,religion,boron,skunk,blackboard,slime
229,man,animal,institutions,things,places,ideas,president,city,bedroom,shoe
230,Banana,Bottle,Black,Desk,Christmas ,Subject,Tools,Run,Screen,Violence
231,plato,she,zebra,alan,water,london,printer,cousin,grandpa,lawyer
232,notebook,pet,plant,food,laptop,device,book,shelf,phone,artwork
233,Ball,Car,Fence,Water,Bird,Computer,Carpet,Sound,Brick,Ice cream
234,Chair,Hair,Bear,Traps,Book,Food,Clothes,Bag,Bottle,Cradle
235,horse,mug,chair,storm ,grass,banana ,castle ,people,chocolate,book
236,water,paper,pen,labtop,glasses,charger,survey,chocolate,nut,house
237,fire,eggs,laptop,black,ears,discipline,beer,song,cushion,religion
238,bucket,island,carrot,candle,speedometer ,peg,trophy,clock,binder,corkscrew
239,boring,exciting,thoughtful,insight,intelligence ,paranloia,dreamyness,regret,wiry,heartless
240,orange,city,cow,mirror,acid,student,bean,rock,snack,time
241,tornado,terrace ,hurt,girl,time,electric,porch,tent,acrobat,winter
242,celebrity,toilet,buffet,thread,conjunctivitis,wedding,Jupiter,cheese,arrogance,flower
243,whisk,window,gluestick,uncle,toenail,flower,calender,keyboard,tattoo,drill
244,apple,watermelon,human,boy,gentalmen,black,dark,happiness,bird,dog
245,Glasses,Tree,Cat,Hair,Love,Fork,Painting ,Violin,Teacher,Bleach
246,scissors,building,cat,bike,tomato,oesophagus,mathematics,painting,space,concussion
247,spiral,leaf,towel,nail,rainbow,chamber,cyst,cannon,angel,pill
248,egg,shit,people,bottle,shoe,swanston,Ivy,wendy,Phoebe,two
249,Japan,coconut,anime,knife,sugar ,gun ,pen ,ball,car ,star
250,television,hammer ,rap,mic,song,sky, car,bridge,grass,gun
251,food,file,pool,tiles,cap,sun,mud,flower,wind,television
252,people,sugar,dog,paper,rice,door,brother,river,toilet,bag
253,water,time,carrot,school,chrome,application,rocket,ink,cast,couch
254,name,fruit,city,animal,sofa,building,book,water,word,pencil
255,Mandarin,Bag,Leg,Rock,Counter,Bus,Cough,Rubber,Oil,Line
256,tree,space,pen,bag,sound,ice,marriage,idea,frog,laughter
257,window,sky,chair,building,laptop,yugurt,bag,clothes,air-conditioning,bed
258,table,chair ,pillow,food,drinks,water,beach ,sand,stars,baby
259,University,Blanket,Chicken,Teddy,Fireball,Uniform,Ball,Slippers,Hike,Cologne
260,jetski,beetle,cotton,plasma,murderers,keyboard,seconds,koala,muffin,carbon monoxide
261,Bed,Women,Sun,Law,Weather,River,Glass,Sheep,Sad,Love
262,apple,pen,shirts,rice,dog,gold,books,fire,phone,hair
263,stick,tissue,bed,leg,school,friend,reflection,meal,data,bag
264,window,sky,pencil,calendar,charger,cream,water,banana,hair,tissue
265,Spoon,Shoe,Bookshelf,Car,Screwdriver ,Bee,Dough,Coffee,Card,Plane
266,table,sky,watermelon,book,hair,shoe,water,calendar,perfume,label
267,lungs,desk,jelousy,radius,maturity,yellow,water,yell,song,leadership
268,Blanket,Tissue,Shoes,Tree,Trash bin,Traffic jam,Ant,Facial wash,Bag,Candy
269,pie,flamingo,axe,blender,dirt,roundabout,towel,whip,mop,flame
270,ball,mouse,candle,wine,garden,person,train,eyelash,painting,books
271,snacks,apartment,office,gym,refrigerator,dishwasher,window,sun,unicorn,woods
272,Cup,Dog,Pencil,Air,Water ,Milk,Burger,Sand,Light,Moon
273,present,dot,hamster,pavement,font,psychologist,aluminium,nacho,yellow,toenail
