originality,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,LSE,dat
0.6,0.9189041866,0.8859891204,0.93217873,0.9631395539,0.9959745222,0.948,85.2784796884
0.2,0.8332772913,0.9064073831,0.8953982354,0.8016544996,0.9738304422,0.848,72.132268548
0.7,0.8413263272,0.913582742,0.9075165523,0.9492472316,0.983203747,0.909,83.6573437998
0.2,0.8528218,0.9248736914,0.9108393547,0.8930902266,1.0026128978,0.881,79.4751613623
0.5,0.8922327227,0.9333787505,0.91038903,0.9293401402,0.9992864943,0.901,81.2626883831
0.3,0.7999745657,0.8553098171,0.8408581329,0.7376037675,0.9636575383,0.816,64.4677057153
0.8,0.814248599,0.8885484351,0.8766165542,0.8395564838,0.9537472881,0.779,74.2638386431
0.3,0.8389722658,0.9134397132,0.8812603032,0.9217229801,0.9983303783,0.888,76.3905791654
0.8,0.8635954842,0.876951686,0.872104567,0.9484766566,0.9810839029,0.837,82.4779570103
0.5,0.8549797999,0.9439683336,0.9293153353,0.8730879612,1.0016682215,0.886,78.7354488813
0,0.8501044364,0.8934210083,0.891936638,0.8675043274,0.9800454628,0.879,83.8302287717
0,0.8618701212,0.8743849766,0.9034329343,0.8710094682,0.9970971353,0.895,79.4461855221
0.1,0.8431166325,0.9242175979,0.9185323168,0.880203822,1.0054564742,0.774,77.3929719059
0.5,0.8634628737,0.921030881,0.929829975,0.9236980493,0.9998464902,0.907,83.7155803861
0.2,0.8893759109,0.9153170783,0.9261612039,0.891903743,0.9889942928,0.824,81.8367836199
0.8,0.8464138566,0.9124212783,0.8855395623,0.8177148211,0.9778600305,0.889,84.2300421181
0.8,0.8411577111,0.869823263,0.8857521311,0.8542138306,0.9777079912,0.781,75.9087122267
2.2,0.9464002703,0.8398958315,0.9287398459,0.966093033,1.0048863513,0.968,93.0530111727
0.1,0.7376354679,0.7805082255,0.8126887029,0.7363373194,0.888204733,0.79,58.8511947365
0.5,0.7696504979,0.912194277,0.8933965437,0.8125810257,0.9844121143,0.82,72.9937532828
0.5,0.8560049935,0.9273596277,0.9168576687,0.8728574258,0.9957282196,0.848,79.2346715572
0.2,0.8678061672,0.921640996,0.8832698637,0.8050767333,0.9923503339,0.844,72.7764140637
0,0.8896086199,0.9600852115,0.9315740056,0.9388507916,0.9937509613,0.925,82.4334417425
0,0.8424085947,0.9189666603,0.9037119008,0.8662825692,0.9826292062,0.898,83.6041221096
0.8,0.8139596182,0.9132547321,0.8970617919,0.8740058328,0.9815690356,0.802,75.6899423897
0.3,0.7987431455,0.8818437263,0.8747283772,0.8680791891,0.9697067257,0.868,76.4340213012
0.8,0.8748861065,0.9095712161,0.9050233609,0.8972609549,0.9946319188,0.855,82.1531449068
0,0.8245379676,0.9402137912,0.9124136237,0.8367500287,0.9945856155,0.884,73.531487726
1,0.8329595813,0.9129530621,0.9077162907,0.8522356667,0.9851227088,0.86,75.6224715994
0.3,0.8161195777,0.9205658509,0.901272681,0.7987152635,0.9996699289,0.828,73.1805462213
0.9,0.8203897964,0.8232302495,0.8342234542,0.781248043,0.9867091004,0.87,71.6538578272
0.1,0.8223193915,0.926708062,0.8967362767,0.8567327132,0.9818370915,0.856,77.0078312783
0.7,0.8024270913,0.8937748814,0.8989876833,0.8799323485,0.9884375214,0.839,72.866862693
0,0.8485107633,0.9414854186,0.9162897738,0.8465383029,0.9890393179,0.912,74.7043035924
